"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping basket as cross-sells to the items already in the shopping cart."
"Check items to add to the cart or","Check items to add to the basket or"
"Shopping Cart","Shopping basket"
"My Cart (1 item)","My basket (1 item)"
"My Cart (%1 items)","My basket (%1 items)"
"My Cart","My basket"
"You added %1 to your shopping cart.","You added %1 to your shopping basket."
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"We can't update the shopping cart.","We can't update the shopping basket."
"Display number of items in cart","Display number of items in basket"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty basket"
"Clear Shopping Cart","Clear shopping basket"
"Update Shopping Cart","Update shopping basket"
"Update Cart","Update basket"
"You have no items in your shopping cart.","You have no items in your shopping basket."
"Edit Your Cart","Edit your basket"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping basket?"
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping basket?"
"My Cart Link","My basket link"
"Mini Cart","Mini basket"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping basket</a>."
"You can't add the item to shopping cart.","You can't add the item to shopping basket."
"The store credit payment has been removed from shopping cart.","The store credit payment has been removed from shopping basket."
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping basket."
"There are no items in customer's shopping cart.","There are no items in customer's shopping basket."
"Shopping Cart from %1","Shopping basket from %1"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your basket. You can always remove it later."
"In Cart","In basket"
"We can't add the item to shopping cart.","We can't add the item to shopping basket."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping basket: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping basket: %2."
"You must select items to add to the cart.","You must select items to add to the basket."
"Back to Shopping Cart","Back to shopping basket"
"Order by SKU", "Quick Order"
"Search entire store here...", "Search for products here..."
"Shipment for order #","Shipment #"
"There is no items to delete","There are no items to delete"
"Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.","Your password must be greater than 8 characters in length and not contain leading or trailing spaces."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Your password must be more than 8 characters in length. It must not contain any spaces.
Your password must contain at least one upper case character, one lower case, one number and one special character/punctuation mark."
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product code ""%1"" that is not part of the original order."
"Enter SKU or Product Name","Enter product code or product name"
"Enter SKUs below, one per line","Enter product codes below, one per line"
"Enter Multiple SKUs","Enter multiple product codes"
"Use commas or paragraph to separate SKUs.","Use commas or paragraph to separate product codes."
"The SKU is out of stock.","The product code is out of stock."
"You entered item(s) with an empty SKU.","You entered item(s) with an empty product code."
"Product with SKU %1 not found","Product with product code %1 not found"
"Product with SKU %1 not found in catalog","Product with product code %1 not found in catalog"
